Job Title,Profile
Device Project Leader,"You have a “Make-it-happen""-mentality with good communication skills, who is able and willing to influence your environment in order to reach your goals and shows patience and persistence to get there. You have the skill to put yourself into non-technical functions and easily communicate with them.
5+ years of experience in Device and combination product project management;
Experience in working in regulated environment (preferably pharma company);
Degree in engineering, pharmaceutics or similar;
Proficiency in English, additional languages are welcome."
Senior Scientist,"University degree in chemistry or pharmacy or related science with focus on analytical chemistry or equivalent;
5+ years of experience in pharma industry, preferably in analytical development, under GMP requirements;
Strong background in development and validation of analytical methods, with hands-on experience in dissolution and chromatographic methods;
A deep understanding of the pharmaceutical development requirements, analytical technological questions as well as scientific and process-oriented thinking;
Passion for supporting the international scientific team in solving pharmaceutical challenge;
Strength in organizational skills and proactive working, hands on attitude as well as excellent communication and team orientation are essential;
Proficient in English (written and spoken), German is a plus.
Desirable requirements:
Audit experience highly appreciated;
Knowledge of dissolution apparatus USP4, IVIVC and QC dissolution method development."
Senior Medical Director - Pharmacovigilance/Drug Safety,"Extensive drug safety and clinical trial knowledge and experience;
Clinical practice experience;
Managerial and Leadership experience a must;
Very strong knowledge/understanding of medical terminology.
Education
Doctor of Medicine (MD)/ Medically qualified from an acknowledged Medical School;
Completion of at least a basic training in clinical medicine (residency, internship etc.)."
"Manager, Analytical Development Services",
Head of Global Quality Supply Chain,
Leading Scientist Pharmaceutical Development Biosimilars,"Master or Doctoral degree in relevant natural science such as molecular biology, chemical engineering, biochemistry or biotechnology;
5 years of working experience in the field of drug product development of biologics/biosimilars, ideally experience in the filed of process transfers and late phase process development;
Fluency in oral and written English;
Project management skills."
External Manufacturing Operations Lead,
Regulatory Scientist - Global Regulatory Affairs - CMC,"The applicant should have solid regulatory experience in either a pharmaceutical or biotech setting;
Strong knowledge of regulatory and compliance guidelines within pharmaceuticals/bio-pharmaceuticals;
Strong knowledge of Manufacturing & Quality work processes as well as GMP compliance;
Proven ability to effectively influence within and beyond the GRA organization;
Communicates effectively, particularly with the view to influencing and developing in an international matrix environment, hereby demonstrating a wider business perspective;
Displays conscientious attitude, and possesses excellent verbal and written communication skills;
Fully proficient in RIM and in using common Microsoft applications to create and present work;
Good organizational skills, with the ability to prioritize and be self-motivating;
Work well collaboratively within a team, or as an individual contributor;
Possesses excellent attention to detail and ability to effectively prioritize;
Proven effective teamwork skills; Able to adapt to diverse interpersonal styles."
"Senior Scientist, DMPK","BSc in relevant scientific discipline such as drug metabolism, pharmacology, pharmaceutical sciences;
In depth understanding of DMPK science;
Working knowledge of multiple DMPK/ADME assays including ability to trouble-shoot;
Good knowledge, obtained from hands-on experience, of interpreting LCMS data from in vitro and in vivo experiments;
Experience working on drug discovery and/or development projects as a DMPK representative;
Excellent organisation and communication skills, both written and oral, confident presenting data;
Hands-on experience of PK data analysis software packages to conduct non-compartmental analysis;
Hands-on experience in in vitro-in vivo extrapolation (IVIVE), PK/PD, and/or physiologically based pharmacokinetic (PBPK) modeling preferred;
Experience working on radiopharmaceuticals or peptides would be an advantage;
Experience using Dotmatics would be an advantage."
CMC Analytical Lead,
"General Manager, Fill Finish","Education: Masters or Ph.D. in Biochemistry, Chemistry, Chemical or Bioprocess Engineering, Biology, or closely allied discipline;
Minimum 12 years of experience in biotech/pharmaceutical cGMP manufacturing industry;
Experience with supplier relationship management;
Demonstrated project leadership skills and ability to develop effective working processes and relationships with internal/external partners and cross-functional project teams;
Strong negotiation skills demonstrated in prior roles;
Strong technical proficiency within fill and finish development and manufacturing is a must;
Experience across modalities required."
Quality Manager/QP/Responsible Person,
Senior Researcher in Neurobiology and Neuro-Oncology for International Research Projects and Industry Collaborations,"PhD with postdoctoral research experience in neurobiology or neuro-oncology;
Strong background in pharmacokinetics/pharmacodynamics (PK/PD) analysis;
Experience in acquiring and managing collaborative research projects;
Professional experience in translational research or industry-sponsored studies;
Ideal candidates will combine academic excellence with practical experience in translational research.
What we offer:
The opportunity to help develop the group strategy, generate new ideas and pursue your own research interests;
An open corporate culture with flat hierarchies;
Minimum salary in accordance with the applicable collective agreement – based on a 100% position – annual gross salary of at least € 70,000 – a market-standard overpayment to the collective agreement is a matter of course for us, depending on professional experience and qualifications;
A team-oriented working environment and modern infrastructure;
Flexible working hours (flexitime without core hours) with home office option and flexible parental leave to support work-life balance and family well-being;
Targeted support for your personal career through the internal training programme and professional development;
Additional full days off on Good Friday, 24.12. and 31.12.;
Attractive social benefits such as sports and cultural promotion, mobility allowance, company events, etc.
We look forward to receiving your meaningful application!"
Medical Affairs Director EMEA,
"Senior Manager, QA","You are passionate about our purpose and genuinely care about our mission to transform the lives of patients through innovative cancer treatment.
You bring rigor and excellence to all that you do. You are a fierce believer in our rooted-in-science approach to problem-solving.
You are a generous collaborator who can work in teams with diverse backgrounds.
You are determined to do and be your best and take pride in enabling the best work of others on the team.
You are not afraid to grapple with the unknown and be innovative.
You have experience working in a fast-growing, dynamic company (or a strong desire to).
You work hard and are not afraid to have a little fun while you do so."
Drug Substance Outsourcing Manager,"Education: A degree in life sciences, biotechnology, or a related field (advanced degree preferred).
Experience:

Minimum of 5 years of experience in drug substance manufacturing and outsourcing.
Proven experience managing CDMO partnerships in the biotechnology or pharmaceutical industry.


Knowledge:

In-depth understanding of biologics manufacturing processes, GMP requirements, and global regulatory frameworks, especially in the Nordics.


Skills:

Strong project management and organizational skills.
Excellent negotiation and communication abilities.
Ability to work cross-functionally and build strong relationships with internal and external stakeholders.


Language Proficiency: Fluency in English is required; knowledge of Swedish is a plus."
QA Manufacturing Manager,
Senior Supply Chain Quality Assurance Specialist,"Scientific degree in Pharmacy, Chemistry, Biology, Engineering or aligned working experience;
Certified Lead Auditor (e.g. IRCA certification) is desirable;
Extensive practical experience in Quality roles within the Pharmaceutical Industry or extensive practical experience in Quality Management Systems within the Pharmaceutical Industry and management of third party providers, in depth knowledge of various dosage forms, audit experience;
Full breadth of knowledge and application of Global Good Manufacturing and Distribution Practices (GMDP) and manufacturing process for various dosage forms including complex and high risk;
Full breadth of knowledge and application of processes associated with third party management;
Good knowledge of due diligence and new product introductions for highly complex and high-risk dosage forms and products;
Demonstrated successful competency in the application of risk management principles with the ability to assess risk and provide advice on resolution;
Ability to solve complex problems relating to Quality;
Organisation skills and the ability to multi-task ensuring all customers receive the appropriate level of service to ensure compliance;
Ability to present effectively both internally and externally."
Medical Director - Ophthalmology,"Experience in clinical medicine (general or specialist qualifications) with a specialty in Ophthalmology, which is expected to be kept up to date;
A background in clinical aspects of drug development, including all aspects of Medical Monitoring and study design/execution, preferred;
Clinical practice experience;
Good knowledge of the drug development process including drug safety, preferred;
Experience in Pharmaceutical Medicine, preferred;
Experience leading, mentoring and managing individuals/ a team, preferred.
Education
Medically qualified in an acknowledged medical school with completion of at least a basic training in clinical medicine (residency, internship)."
Director - Medical Neuroscience,
QA Project Manager,
"Senior Director, R&D Site Lead",
Global Regulatory Affairs Lead,"Degree in Life Sciences;
Expert on all Regulatory Affairs processes, applications and regulatory environment to achieve and maintain marketing authorizations;
Good knowledge of drug development and the rare diseases regulatory environment;
Experience in haematology is preferred;
Very good knowledge in written and oral English, knowledge of other languages is an upside but not required."
Clinical Safety Manager - Pharmacovigilance/Drug Safety,"Bachelor’s degree and 5 years of clinical safety experience, including project management and ideally line management experience; OR
Master's degree and 3 years of clinical safety experience, including project management and ideally line management experience;
Previous experience of managing clinical safety activities for multiple programs;
Experience in writing departmental SOPs and Work Instructions;
Experience in PSMF generation and maintenance;
Experience in CCDS/RMP/SmPC writing and maintenance;
Comprehensive knowledge of global clinical safety regulatory requirements;
Excellent verbal and written communication skills;
Strong leadership, mentoring, and motivational skills;
Exceptional teamwork skills;
Ability to work independently."
Non-Clinical Drug Safety Senior Project Manager,
QA Director Biologics,
Medical Marketing Manager,
Organic Synthetic Chemist,"Degree level or higher specialising in chemistry and/or organic synthesis;
Ideally Ph. D with post-doctoral research in organic synthesis;
Proven experience in chemical synthesis post qualification;
Proven track record in organic chemistry within a pharmaceutical or academic setting;
Experience working a GMP/GLP compliant environment;
Excellent documentation and communication skills."
Senior Scientist Product Development Science & Technology (PDS&T) - Global Material and Parenteral Packaging Sciences,"Senior Scientist II: Bachelor’s Degree or equivalent education and typically, 12 years of experience, Master’s Degree or equivalent education and typically 10 years of experience, PhD and typically 4 years of experience. Degree in Analytical Chemistry, Material Sciences, Chemistry, Physic, or related fields;
Senior Scientist I: Bachelor’s Degree or equivalent education and typically, 10 years of experience, Master’s Degree or equivalent education and typically 8 years of experience, PhD and some experience necessary. Degree in Analytical Chemistry, Material Sciences, Chemistry, Physic, or related fields;
Professional training may be substituted for equivalent knowledge gained through work experience as an Associate Scientist/Scientist;
Experience in analytical method development and validation according to USP, ICH or other compendial or regulatory requirements;
Experience with polymers and material selection for process equipment, container closure systems and/or medical devices;
Excellent oral communication skills as well as sound technical writing and documentation competencies are required;
Willingness to travel both domestic and international up to 10% of the time;
Able to work independently, respond to changing priorities and short lead times for multiple tasks; able to identify problems and work toward solutions; able to influence without direct authority in multi-disciplinary teams."
Associate Director - Evidence Generation,"You are passionate about our purpose and genuinely care about our mission to transform the lives of patients through innovative cancer treatment.
You bring rigor and excellence to all that you do. You are a fierce believer in our rooted-in-science approach to problem-solving.
You are a generous collaborator who can work in teams with diverse backgrounds.
You are determined to do and be your best and take pride in enabling the best work of others on the team.
You are not afraid to grapple with the unknown and be innovative.
You have experience working in a fast-growing, dynamic company (or a strong desire to).
You work hard and are not afraid to have a little fun while you do so."
"Head of Process Development, Drug Product Services",
Associate Director PVQA,
Senior Principal Scientist (Bioanalytical),
Global Quality Country Organization Head,"You are a strong and inspiring leader with excellent communication and collaboration skills, capable of building trust and driving results across global teams. A proactive and action-oriented mindset defines your approach, coupled with a strong sense of ownership and accountability. You excel at solving complex challenges and navigating diverse cultural contexts, demonstrating empathy, courage, and integrity in all you do. With a keen business acumen, you have a natural ability to engage with high-impact stakeholders and manage strategic priorities effectively. Your leadership style fosters motivation, trust, and continuous improvement, ensuring operational excellence in everything you undertake.
Key Qualifications
Master’s degree/PhD in Pharmacy, Engineering, Chemistry, or a related field;
Minimum 15 years of experience in the pharmaceutical industry in quality, manufacturing, or regulatory affairs;
At least 10 years of leadership experience in international, matrixed organizations;
Deep understanding of global regulatory and GxP requirements across markets (US, EU, APAC, LATAM, MENA);
Proven success in performance management, KPI implementation, and lifecycle management;
Expertise in GVP and GCP, with a track record of driving business improvements and working with strategic stakeholders."
Head of Supply Chain Northern Europe,
Quality Manager,"Bachelor’s degree or equivalent in a scientific or technical discipline of relevance
Direct experience in the regulated pharmaceutical industry, specifically including Quality Assurance, Quality Control, and Manufacturing Operations for Drug substance and/or Drug product
Demonstrated experience working with third party manufacturing contractors
People management experience"
Senior Director Analytical Science & Technology,
Senior Quality Assurance Operations Specialist,
Biosafety Specialist,
Senior Biostatistician FSP,"Here at Cytel we want our employees to succeed and we enable this success through consistent training, development and support.
To be successful in this position you will have:
Master’s degree in statistics or a related discipline. Ph.D. strongly desired
5+ years supporting clinical trials in the Pharmaceutical or Biotechnology industry
Experience working for a CRO is strongly desired
Experience in sample size calculation, protocol concept development, protocol development, SAP, and preparing clinical study reports including integrated summaries for submissions
Good SAS programming skills for QCing critical outputs, Efficacy/Safety tables, and working closely with Programmers. Knowledge of R programming is a plus
Solid understanding & implementation of CDISC requirements
Adept in ADaM specifications generation and QC of datasets
The ability to build strong external & internal relationships and motivate a regional or global team
Effective communicator: able to explain methodology and consequences of decisions in lay terms"
"Manufacturing Scientist, Assembly & Packaging",
(Senior) CMC Analytical Specialist,"You are passionate about our purpose and genuinely care about our mission to transform the lives of patients through innovative cancer treatment.
You bring rigor and excellence to all that you do. You are a fierce believer in our rooted-in-science approach to problem-solving.
You are a generous collaborator who can work in teams with diverse backgrounds.
You are determined to do and be your best and take pride in enabling the best work of others on the team.
You are not afraid to grapple with the unknown and be innovative.
You have experience working in a fast-growing, dynamic company (or a strong desire to).
You work hard and are not afraid to have a little fun while you do so."
R&D Analytical Researcher,"Degree, Masters or PhD qualification in Chemistry (or related discipline), with at least 2 year’s work experience with method development and validation
Experience in analytical method development and validation with mass spectrometry is highly desirable
Experience with MassHunter software would be advantageous
Excellent communicator (both oral and written)
Experience of working to current Good Manufacturing Practice (GMP) or Good Laboratory Practice (GLP) and implementing policies and procedures in line with regulatory guidelines
Knowledge of global regulatory and compliance requirements
Good planning and organising skills & adaptable to changing priorities"
Senior Clinical Trial Manager,
Formulation Scientist,"Educational Background: PhD with 3 years relevant experience, MSc with 6 years relevant experience, or BSc/equivalent technical education with 10+ years relevant experience in generic product development.
Experience: Previous experience in oral solid dosage form generic product development.
Agility: Proven experience in managing multiple tasks in parallel.
Communication Skills: Demonstrated excellent communication and presentation skills.
Regulatory Knowledge: Excellent understanding of regulatory expectations and requirements (US FDA, EMA, ANVISA).
Teamwork: Experience working in cross-functional teams.
Problem Solving: Proven track record of creativity, problem solving, and productivity.
Writing Skills: Proficient scientific/technical writing skills.
Languages: Fluent in English (oral and written); skills in German are welcome.
Interpersonal Skills: Strong interpersonal skills, understanding the importance of relationships, and being a team player.
Leadership: A leader who mentors and supports the careers of others and is willing to roll up their sleeves to get the job done."
QA Senior Manager Biosimilars,"University degree in Microbiology, Biotechnology, Biochemistry or equivalent.
Minimum 5 years of working experience in Biopharma quality/quality assurance or operations (i.e. Upstream/Downstream process development, Drug product development, analytics).
Excellent communication and organizational skills.
Excellent skills in identifying issues and solving problems.
Excellent & detailed knowledge of GMP-regulations.
Fluent in English.
Knowledge of Microsoft Office."
Biostatistician Director,
Clinical Trial Manager II,"What we’re looking for
Bachelor’s degree or RN in a related field or equivalent combination of education, training and experience.
Demonstrated ability to lead and align teams in the achievement of project milestones.
Demonstrated capability of working in an international environment.
Demonstrated expertise in site management and monitoring (clinical or central).
Preferred experience with risk-based monitoring.
Demonstrates understanding of clinical trial management financial principles and budget management.
Knowledge of Good Clinical Practice/ICH Guidelines and other applicable regulatory requirements.
Must demonstrate good computer skills.
Good communication, presentation and interpersonal skills among project team and with sites.
Strong conflict resolution skills.
Demonstrated ability to apply problem solving techniques to resolve complex issues, and apply a risk management approach to identifying and mitigating potential threats to the successful conduct of a clinical research project.
Demonstrates critical thinking to determine the cause and appropriate solution in the identification of issues.
Moderate travel may be required, approximately 20%."
Associate Scientist Bioanalytics,"PhD in Immunology or Molecular Biology with relevant research experience or Master degree with minimum 5 years relevant industry experience in the field of life sciences
Experience in managing outsourced activities at external vendors is considered an asset
Solid knowledge in the development and validation of bioanalytical assays including the respective regulatory guidelines (GLP and GCP)
Good knowledge of bioanalytical techniques specifically in the field of biologics and antibodies
Hands-on experience with LC-MS for biologics and/or flow cytometry
Understanding of pharmacology concepts of biologics, COU and fit-for-purpose biomarker assay validation, target engagement and receptor occupancy
Excellent interpersonal skills, enjoys working in multidisciplinary teams and with external parties
Excellent organizational and communication skills
Able to work independently
Strong emphasis on quality
Proactive and flexible, able to operate in a dynamic surrounding of a fast-growing biotech company"
Associate Scientist Bioreactor Process Design,
Principal Chemist - Analytical,
Senior Pharmacovigilance Associate,"We expect:
Life science/bio medical background – healthcare related degree (chemistry, biology, biotechnology, veterinary science) and demonstrated experience in Pharmacovigilance case processing
ARGUS experience preferred
Time and issue management, delegation, organization and multitasking skills with good attention to detail
Strong interpersonal and communication skills
Fluency in English skills, both verbal and written, at least B2"
Principal Biostatistician (Late Phase),"What we’re looking for
Graduate degree in biostatistics or related discipline.
Extensive experience in clinical trials or an equivalent combination of education and experience, demonstrated by the ability to lead multiple projects and programs of studies.
Proficiency in programming.
Ability to apply extensive knowledge of statistical design, analysis, relevant regulatory guidelines, and programming techniques utilized in clinical research and to effectively communicate statistical concepts.
Experience across all statistical tasks required to support clinical trials during the lifecycle of the project, from protocol to CSR.
Experience with regulatory submissions preferred.
Excellent written and verbal communication skills.
Ability to read, write, speak, and understand English."
Medical Science Liaison,"We are looking for highly motivated individuals who are passionate about making a meaningful difference to patients’ lives.
Qualifications:
Medical degree, PhD, PharmD or relevant higher life science degree.
Experience & Competences:
Minimum of 3 years working in pharmaceutical environment at least within Medical Affairs/MSL in a specialty care area.
Ability to comprehensively learn about new subject areas/indications and environments.
Excellent written and spoken communication and presentation skills, with a demonstrated ability to develop and maintain strong collaborative relationships with external experts, physicians, and other healthcare decision makers.
Experience and network in the field of gastroenterology, hepatology, infectious diseases or comparable.
Knowledge & Skills:
Good knowledge of the pharmaceutical environment and the role of medical affairs/MSL in advancing the medical and scientific objectives of a pharmaceutical company.
Excellent customer facing skills including the ability to build and develop networks and work collaboratively with diverse stakeholders.
Competent in delivering medical/scientific presentation and excellent communication skills and ability to discuss, negotiate and convince.
Project management and organisational skills and cross-functional understanding and teamwork.
Compliance mind-set and patient centric; ensures compliance obligations are met across all areas with a speak up mentality and puts patient safety first.
Personal Qualities:
Fluent in English, both written and spoken and familiar with digital solutions (Outlook, Word, PPT, Excel etc.).
Ability to travel on a regular basis, major proportion of time is spent in field.
Positive and “can do” approach, biased towards finding solutions and win/wins; responsiveness, agility and flexibility; Excellent team player; strong sense of ownership and accountability; inspired by values “entrepreneurship”, “speed” and “integrity”; driven by ambition; learning agility and desire to continuously improve and develop; embracing change."
Design Quality Assurance Position - IVD,"University degree in scientific fields (molecular biology, biochemistry, chemistry) or engineering (chemical engineering, bioengineering) or equivalent, Master or PhD preferred
Proficient years of experience in the areas of IVD product development and/or quality engineering
Quality assurance experience for IVD instruments and/or assays under ISO 13485
Work experience in developing chem/bio-based applications including exposure to DoE, FMEA and MSA activities
Experience with laboratory equipment in the genomics field preferred with the ability to communicate and understand biological and clinical applications
Experience in gap assessments and remediations
Strong skilled in exchanging communication and providing technical guidance in English, German skills are a plus
Experience with multi-national and interdisciplinary teams in a matrix organization
Good planning and communication skills
Familiar with good documentation standards"
Senior Clinical Research Scientist,"You are passionate about our purpose and genuinely care about our mission to transform the lives of patients through innovative cancer treatment.
You bring rigor and excellence to all that you do. You are a fierce believer in our rooted-in-science approach to problem-solving.
You are a generous collaborator who can work in teams with diverse backgrounds.
You are determined to do and be your best and take pride in enabling the best work of others on the team.
You are not afraid to grapple with the unknown and be innovative.
You have experience working in a fast-growing, dynamic company (or a strong desire to).
You work hard and are not afraid to have a little fun while you do so."
Senior Quality and Regulatory Affairs Specialist,
Pharmacovigilance Operations Excellence Associate,
Senior/Principal Scientist Mass Spectrometrist,
Senior Medical Writer,
Principal Virologist - Laboratory Project Management,
Senior Global Marketing Director Nephrology,"Recent nephrology & orphan disease experience in a marketing role for a minimum of 10 years
In-field business management experience (ie: BU Head, Marketing Manager) minimum 2 years
Experience of pre-launch and launch activities in rare diseases, preferentially Nephrology & Rare Diseases
Additional commercial experiences including sales, market analytics and business intelligence
Additional Information
Strong cross-cultural leadership, effective communication and team working skills
Multi stakeholder project management and leadership experience, delivering results on time and within budget
Flexibility, ability to manage change and operate in an environment of uncertainty (VUCA)
Demonstrable customer relationship management experience, and skills to develop KOL advocacy and create product champions within Nephrology
Life cycle management
Fluency in written and spoken English
Additional European language skill is desired
University degree level education – medical/science base"
"Scientist Quality Control, Biochemistry",
QC Metrology & Informatics Chemist,"Bachelor’s Degree or above in Chemistry or related Science.
3-5 years relevant Quality Control experience or equivalent combination of education and experience.
Experience in pharmaceutical manufacturing facility.
Demonstrate knowledge of cGMP requirements and practices including extensive knowledge of the USP and FDA Guidance Documents relating to the pharmaceutical Quality Control Laboratory.
Demonstrate competency in review of data generated by QC laboratory as attention to detail is a requirement of the position.
Demonstrate strong organizational skills and the ability to communicate across multiple departments.
Demonstrate strong analytical laboratory skills and laboratory troubleshooting abilities."
Regulatory Affairs Analyst,"Education and Experience
Graduate in Life Sciences in a relevant area or equivalent industry experience.
Some awareness of both pharmaceutical regulations and guidelines and national regulations within the assigned region.
Prior relevant experience in pharmaceutical industry or Regulatory Affairs.
Essential Skills and Abilities
Ability to plan and organise workload including managing multiple projects.
Ability to work effectively and collaboratively across the Abbvie organisation.
Good interpersonal and negotiation skills.
Good communication skills, both written and verbal (in English).
Positive, can do attitude.
Willingness to travel as necessary."
Clinical Research Associate,"Experience: Clinical trial monitoring experience within a CRO, biotech, or pharmaceutical environment.
Education: Degree in a related field (e.g., Life Sciences, Nursing, or equivalent).
Regulatory Knowledge: Familiarity with ICH-GCP guidelines and local regulatory requirements.
Technical Skills: Basic proficiency in clinical trial management systems (CTMS) and eTMF platforms.
Communication: Strong written and verbal communication skills in English."
"Director, Head of Medical Review Immuno-Oncology",
